year,utilityNumber,utilityName,state,part,serviceType,dataType,ownership,baCode,resRev,resSales,resCust,resPrice,comRev,comSales,comCust,comPrice,indRev,indSales,indCust,indPrice,transRev,transSales,transCust,transPrice,totalRev,totalSales,totalCust,totalPrice
2003,5068,Denver City & County of,CO,A,Bundled,O,Facility,,175,4000,1,4.38,,,,,,,,,,,,,175,4000,1,4.38
2003,27000,Western Area Power Administration,CO,A,Bundled,O,Federal,,0,0,0,,1201,69482,5,1.73,0,0,0,,0,0,0,,1201,69482,5,1.73
2003,21143,City of Yuma,CO,A,Bundled,O,Municipal,,820,10000,1472,8.2,1123,13000,343,8.64,0,0,0,,,,,,1943,23000,1815,8.45
2003,21021,City of Wray,CO,A,Bundled,O,Municipal,,704,8296,970,8.49,1015,12650,283,8.02,0,0,0,,0,0,0,,1719,20946,1253,8.21
2003,21081,Yampa Valley Electric Assn Inc,CO,A,Bundled,O,Cooperative,,14275,178538,18846,8,13065,157440,3782,8.3,9981,143178,15,6.97,0,0,0,,37321,479156,22643,7.79
2003,21075,Y-W Electric Assn Inc,CO,A,Bundled,O,Cooperative,,3665,45430,4811,8.07,1781,25426,1289,7,16886,241346,2206,7,0,0,0,,22332,312202,8306,7.15
2003,5862,"Empire Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,8592,87964,11134,9.77,7691,93504,2272,8.23,9928,243630,2,4.08,0,0,0,,26211,425098,13408,6.17
2003,14054,Town of Oak Creek,CO,A,Bundled,O,Municipal,,268,4201,530,6.38,102,1736,64,5.88,0,0,0,,0,0,0,,370,5937,594,6.23
2003,12698,Aquila Inc,CO,A,Bundled,O,Investor Owned,,46100,546859,76713,8.43,44523,675719,11310,6.59,25345,505734,104,5.01,0,0,0,,115968,1728312,88127,6.71
2003,12866,Moon Lake Electric Assn Inc,CO,A,Bundled,O,Cooperative,,778,12038,1437,6.46,6431,129436,1085,4.97,15366,315260,7,4.87,0,0,0,,22575,456734,2529,4.94
2003,12860,Morgan County Rural Elec Assn,CO,A,Bundled,O,Cooperative,,4897,51456,4493,9.52,6929,76443,2657,9.06,2984,46911,178,6.36,0,0,0,,14810,174810,7328,8.47
2003,13058,"Mountain View Elec Assn, Inc",CO,A,Bundled,O,Cooperative,,32256,336106,32372,9.6,10339,135588,2811,7.63,4214,81292,13,5.18,0,0,0,,46809,552986,35196,8.46
2003,13050,"Mountain Parks Electric, Inc",CO,A,Bundled,O,Cooperative,,9947,119181,13663,8.35,7854,123268,2919,6.37,827,17215,8,4.8,0,0,0,,18628,259664,16590,7.17
2003,16603,"San Luis Valley R E C, Inc",CO,A,Bundled,O,Cooperative,,6082,57207,7985,10.63,2789,31912,864,8.74,10236,120796,2496,8.47,0,0,0,,19107,209915,11345,9.1
2003,16622,"San Miguel Power Assn, Inc",CO,A,Bundled,O,Cooperative,,8756,81597,9026,10.73,7315,80941,2252,9.04,5,62,1,8.06,,,,,16076,162600,11279,9.89
2003,16616,"San Isabel Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,13790,126165,17938,10.93,6921,66187,2394,10.46,2978,71045,6,4.19,0,0,0,,23689,263397,20338,8.99
